Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10
GrassRMA,0.8880515759,3563.84,31.65850325,0.2209763527,31587.09,0.9441
GrassRMA,0.9354584527,3563.84,40.08291102,0.2797787189,24948.29,0.9736
GrassRMA,0.9519340974,3563.84,64.20653324,0.448161602,15574.74,0.9828
GrassRMA,0.9608166189,3563.84,75.19981581,0.5248947144,13297.9,0.9878
GrassRMA,0.9670630372,3563.84,91.40975154,0.6380400658,10939.75,0.9878
GrassRMA,0.9705730659,3563.84,98.87016947,0.6901137829,10114.27,0.9934
GrassRMA,0.9729799427,3563.84,256.2079184,1.78833127,3903.08,0.9943
GrassRMA,0.9756590258,3563.84,269.303315,1.879737139,3713.29,0.9956
GrassRMA,0.9771919771,3563.84,275.0662131,1.919962168,3635.49,0.9958
kANNolo,0.83095,12007,309,2.15682,3236.245955,0.3298251239
kANNolo,0.91789,12007,477,3.32946,2096.436059,0.3548245554
kANNolo,0.96534,12007,798,5.57004,1253.132832,0.3702489539
kANNolo,0.9851,12007,1393,9.72314,717.8750897,0.377406422
kANNolo,0.99083,12007,1949,13.60402,513.0836326,0.3798725952
kANNolo,0.99461,12007,3189,22.25922,313.5779241,0.3816169782
kANNolo,0.99686,12007,5517,38.50866,181.25793,0.3822831673
kANNolo,0.99768,12007,7853,54.81394,127.3398701,0.3829292878
kANNolo,0.99809,12007,10235,71.4403,97.70395701,0.3830295743
SEISMIC,0.9031088825,75,162,1.13076,6172.839506,0.3739330627
SEISMIC,0.9208022923,75,185,1.2913,5405.405405,0.3757476577
SEISMIC,0.9208022923,75,186,1.29828,5376.344086,0.3757476577
SEISMIC,0.929512894,75,201,1.40298,4975.124378,0.3761399918
SEISMIC,0.9388681948,75,245,1.7101,4081.632653,0.3773850457
SEISMIC,0.9561891117,75,285,1.9893,3508.77193,0.3781806295
SEISMIC,0.9605587393,75,308,2.14984,3246.753247,0.3787523309
SEISMIC,0.9714613181,75,462,3.22476,2164.502165,0.3790387502
SEISMIC,0.9760744986,75,698,4.87204,1432.664756,0.3796649156
